datetime,region,latitude,longitude,wind_speed_kmh,pressure_hpa,humidity_pct,rainfall_mm,air_temp_c,tide_height_m,wave_height_m,sst_c,salinity_ppt,chlorophyll_mg_m3,turbidity_ntu,month,season,threat_type
2021-01-01,Mumbai,19.07,72.87,21.72,1005.84,62.66,0.09,25.41,1.67,2.56,25.3,34.48,0.222,0.69,1,Winter,Pollution
2021-01-02,Mumbai,19.07,72.87,7.02,1009.6,60.72,0.68,24.14,2.38,1.25,26.08,33.93,0.226,1.32,1,Winter,No Threat
2021-01-03,Mumbai,19.07,72.87,7.24,1009.12,58.98,0.2,30.63,1.19,1.41,25.72,35.03,0.127,2.32,1,Winter,No Threat
2021-01-04,Mumbai,19.07,72.87,30.98,1008.44,54.91,0.47,22.04,1.24,2.87,26.41,33.73,0.454,0.98,1,Winter,No Threat
2021-01-05,Mumbai,19.07,72.87,17.77,1009.59,56.61,2.98,25.23,0.61,2.5,25.79,34.49,0.899,0.85,1,Winter,No Threat
2021-01-06,Mumbai,19.07,72.87,14.98,1006.84,74.73,1.24,27.99,1.5,2.74,22.86,35.27,0.375,1.06,1,Winter,No Threat
2021-01-07,Mumbai,19.07,72.87,15.36,996.17,79.78,0.39,24.7,1.4,1.36,26.6,35.49,0.43,1.47,1,Winter,No Threat
2021-01-08,Mumbai,19.07,72.87,21.31,1005.83,62.43,0.84,25.08,1.7,2.02,26.01,34.64,0.113,0.97,1,Winter,No Threat
2021-01-09,Mumbai,19.07,72.87,13.48,1002.75,83.86,0.68,26.44,1.52,0.43,24.71,34.19,0.38,0.96,1,Winter,No Threat
2021-01-10,Mumbai,19.07,72.87,15.09,1004.97,59.25,1.01,24.95,2.22,2.18,26.95,34.23,1.075,0.57,1,Winter,No Threat
2021-01-11,Mumbai,19.07,72.87,13.98,1015.63,66.0,1.7,24.74,1.54,1.36,26.78,34.03,0.538,0.78,1,Winter,No Threat
2021-01-12,Mumbai,19.07,72.87,17.16,1002.28,61.43,1.62,27.39,1.67,2.63,24.07,34.88,0.431,2.0,1,Winter,No Threat
2021-01-13,Mumbai,19.07,72.87,12.42,1000.26,67.5,1.54,26.87,1.67,2.17,26.21,34.04,0.81,2.73,1,Winter,No Threat
2021-01-14,Mumbai,19.07,72.87,15.92,998.19,72.7,2.84,29.17,2.03,3.01,25.71,34.29,0.172,0.88,1,Winter,No Threat
2021-01-15,Mumbai,19.07,72.87,17.0,1008.26,65.13,1.29,29.63,0.69,1.69,24.84,35.36,0.362,1.17,1,Winter,No Threat
2021-01-16,Mumbai,19.07,72.87,13.12,1011.32,75.46,0.57,25.14,1.66,0.72,26.21,35.02,0.173,1.34,1,Winter,No Threat
2021-01-17,Mumbai,19.07,72.87,18.08,999.98,75.83,0.67,28.63,2.08,1.32,26.37,34.94,0.357,2.06,1,Winter,No Threat
2021-01-18,Mumbai,19.07,72.87,29.84,1003.06,67.32,0.62,26.44,1.07,1.93,25.42,34.84,2.23,0.42,1,Winter,No Threat
2021-01-19,Mumbai,19.07,72.87,17.07,998.99,65.64,2.2,23.31,1.86,0.82,28.87,35.86,1.042,2.08,1,Winter,No Threat
2021-01-20,Mumbai,19.07,72.87,21.32,1004.56,60.56,0.12,21.83,1.83,2.45,24.56,34.6,0.239,0.82,1,Winter,No Threat
2021-01-21,Mumbai,19.07,72.87,18.52,1008.3,86.22,0.82,28.58,1.09,0.86,25.72,35.91,0.345,0.73,1,Winter,No Threat
2021-01-22,Mumbai,19.07,72.87,0.0,1006.87,80.43,0.07,29.31,2.39,0.19,27.4,34.8,0.16,1.59,1,Winter,No Threat
2021-01-23,Mumbai,19.07,72.87,17.34,1001.02,66.14,0.74,27.66,1.15,3.2,26.82,34.83,0.497,1.16,1,Winter,No Threat
2021-01-24,Mumbai,19.07,72.87,17.99,1004.71,58.78,1.79,25.11,2.06,1.95,26.98,35.14,0.18,0.95,1,Winter,No Threat
2021-01-25,Mumbai,19.07,72.87,19.63,1007.4,77.78,0.63,24.52,2.45,1.48,25.51,34.94,0.353,2.13,1,Winter,No Threat
2021-01-26,Mumbai,19.07,72.87,12.19,1012.8,62.29,4.5,24.47,1.57,1.98,25.02,35.97,0.157,0.8,1,Winter,No Threat
2021-01-27,Mumbai,19.07,72.87,24.91,1007.74,64.88,0.09,23.76,0.25,3.19,25.63,35.28,0.572,2.71,1,Winter,No Threat
2021-01-28,Mumbai,19.07,72.87,16.63,1007.78,76.54,4.41,24.81,1.08,1.55,26.37,35.6,0.695,1.31,1,Winter,No Threat
2021-01-29,Mumbai,19.07,72.87,15.81,999.67,68.23,2.06,23.93,1.8,1.74,24.27,34.25,0.266,1.68,1,Winter,No Threat
2021-01-30,Mumbai,19.07,72.87,18.72,1009.41,87.76,1.78,27.02,2.79,1.22,27.05,34.87,2.018,0.83,1,Winter,No Threat
2021-01-31,Mumbai,19.07,72.87,1.18,1005.6,57.41,5.5,26.38,0.35,1.49,26.69,35.27,0.634,3.19,1,Winter,No Threat
2021-02-01,Mumbai,19.07,72.87,19.13,1003.03,67.95,0.72,23.26,1.43,2.64,24.09,34.43,0.351,1.27,2,Winter,No Threat
2021-02-02,Mumbai,19.07,72.87,8.41,1010.31,66.2,0.39,27.29,2.13,2.53,25.01,34.61,0.425,4.12,2,Winter,No Threat
2021-02-03,Mumbai,19.07,72.87,17.42,1014.84,75.27,0.77,26.42,1.88,2.68,24.84,35.2,0.816,0.46,2,Winter,No Threat
2021-02-04,Mumbai,19.07,72.87,8.74,998.62,80.02,0.76,26.19,2.08,1.69,25.98,35.26,0.279,0.48,2,Winter,No Threat
2021-02-05,Mumbai,19.07,72.87,21.58,1002.66,63.77,0.21,25.81,1.72,1.19,25.38,34.16,0.333,2.14,2,Winter,No Threat
